Mo Sold,Heating QC,SalePrice
5,Fa,215000
6,TA,105000
6,TA,172000
4,Ex,244000
3,Gd,189900
6,Ex,195500
4,Ex,213500
1,Ex,191500
3,Ex,236500
6,Gd,189000
4,Gd,175900
3,Ex,185000
5,Gd,180400
2,Gd,171500
6,TA,212000
6,Ex,538000
6,Gd,164000
6,Ex,394432
6,Ex,141000
2,TA,210000
1,Ex,190000
1,TA,170000
1,Ex,216000
3,Ex,149000
4,Ex,149900
7,Ex,142000
4,TA,126000
4,TA,115000
6,Ex,184000
2,TA,96000
3,TA,105500
3,TA,88000
7,TA,127500
6,TA,149900
6,Ex,120000
7,Fa,146000
1,Ex,376162
5,Ex,306000
4,Ex,395192
6,Ex,290941
5,Ex,220000
6,Ex,275000
2,Ex,259000
3,Ex,214000
3,Ex,611657
6,Ex,224000
6,Ex,500000
6,Ex,320000
2,Ex,319900
4,Ex,205000
6,Ex,175500
1,Ex,199500
1,Ex,160000
4,Ex,192000
6,Ex,184500
5,Ex,216500
4,Ex,185088
4,Ex,180000
5,Ex,222500
5,Ex,333168
1,Ex,355000
3,Ex,260400
4,Ex,325000
4,Ex,290000
6,Gd,221000
3,Ex,410000
5,Ex,221500
4,Ex,204500
6,Ex,215200
4,Ex,262500
5,Ex,254900
5,Ex,271500
1,Ex,233000
4,Ex,181000
5,Ex,205000
5,TA,143000
5,Ex,189000
4,TA,99500
2,TA,125000
2,Ex,194500
5,TA,152000
4,TA,171000
4,TA,67500
4,TA,112000
6,TA,148000
4,Ex,138500
2,TA,122000
6,Fa,133000
4,Ex,127000
4,Ex,169000
6,Ex,190000
6,Ex,362500
6,Ex,285000
3,Ex,260000
1,Ex,190000
4,Ex,155000
6,Ex,151000
2,Ex,149500
5,Ex,152000
6,Ex,222000
6,Ex,177500
5,Ex,177000
5,Ex,155000
6,Ex,147110
4,Ex,267916
4,Ex,254000
6,TA,155000
1,TA,206000
3,Ex,130500
4,Ex,230000
5,Gd,218500
3,Ex,243500
2,Gd,205000
4,TA,212500
3,TA,196500
3,TA,197500
6,TA,171000
4,TA,142250
6,TA,143000
1,Fa,128950
4,Gd,159000
4,Ex,178900
5,TA,136300
4,TA,180500
5,Ex,137500
1,TA,84900
4,Gd,142125
3,Gd,197600
1,TA,172500
2,Gd,116500
5,Ex,76500
2,TA,128000
3,Ex,153000
3,Gd,132000
1,Gd,178000
1,TA,154300
7,TA,180000
6,Ex,190000
3,TA,135000
2,Ex,214000
5,TA,136000
4,Gd,165500
6,TA,145000
4,TA,148000
5,Fa,142000
4,TA,167500
5,Fa,108538
6,Ex,159500
2,TA,108000
5,TA,135000
6,TA,122500
4,TA,119000
1,TA,109000
4,Gd,105000
4,Ex,107500
5,Gd,144900
5,Ex,129000
1,TA,97500
6,Gd,144000
3,Ex,162000
6,Ex,242000
5,TA,132000
5,Ex,154000
6,Fa,166000
5,TA,134800
2,TA,160000
6,Ex,148000
5,TA,192000
6,TA,155000
1,TA,80400
6,Gd,96500
5,TA,109500
3,Gd,115000
6,Gd,143000
5,Gd,107400
6,TA,80000
2,TA,119000
4,TA,130000
1,Gd,119000
6,Ex,129000
3,TA,100000
6,TA,12789
5,Gd,105900
4,TA,150000
6,TA,139000
4,Ex,240000
6,Fa,76500
4,TA,149700
6,Gd,125500
4,Gd,122500
6,Ex,140750
3,Ex,128500
5,TA,209500
4,TA,87000
4,TA,134000
3,Ex,128000
3,TA,132000
3,TA,139900
5,Gd,123900
3,TA,138400
3,TA,109500
4,Gd,140000
6,Ex,149500
5,Ex,159900
2,Ex,122000
5,TA,110000
7,Fa,55000
5,Gd,140000
6,Ex,244400
5,Gd,173000
1,Gd,107500
2,TA,100000
3,Ex,95000
3,TA,93369
6,Gd,114900
5,Gd,94000
5,TA,136000
4,TA,136500
4,Ex,131500
5,TA,121500
5,TA,125000
5,Ex,154000
6,Ex,137900
3,TA,158000
5,Ex,137250
5,TA,160250
3,Ex,163000
4,TA,158900
4,Ex,328000
4,Gd,270000
6,TA,85000
2,TA,128000
4,TA,260000
5,Ex,230000
6,TA,124000
5,Fa,83000
6,Ex,144500
6,TA,129000
6,Ex,127000
6,TA,128000
3,Ex,186000
1,Ex,308030
6,Ex,114000
4,Ex,84900
6,TA,178000
6,Ex,270000
5,Ex,218000
6,Ex,236000
4,Ex,147000
2,Ex,245350
2,Ex,206000
5,Ex,198900
3,Ex,187000
5,Gd,320000
3,TA,138500
6,Gd,155000
7,Gd,159000
4,Ex,191000
6,Ex,200500
6,Ex,150000
3,Ex,161750
2,TA,128200
6,TA,127000
5,Ex,318000
5,Ex,272000
1,Ex,237000
4,Ex,240000
5,Ex,224900
4,Ex,143750
5,Ex,143000
5,Ex,232000
5,Ex,213000
5,Ex,185500
4,TA,84900
1,Ex,155891
5,TA,100000
6,TA,144000
6,Ex,64000
6,TA,125200
3,TA,107000
5,Ex,90000
3,Ex,140000
4,TA,113000
7,Fa,80000
5,Ex,144500
5,Fa,104000
5,TA,128000
6,TA,58500
5,TA,127000
3,TA,126000
2,TA,160000
5,Ex,100000
3,Ex,169000
7,Ex,257500
3,Ex,215000
5,Ex,266500
5,TA,335000
6,Ex,203135
4,Gd,185000
3,Gd,162500
3,TA,289000
5,Gd,125500
4,TA,82000
4,Fa,110000
4,TA,68400
1,Gd,102776
6,TA,55993
6,Gd,50138
5,Ex,246000
5,Ex,254900
5,TA,190000
4,Ex,201000
5,TA,169900
3,TA,170000
6,TA,160000
5,Ex,220000
1,Ex,179781
4,Gd,174000
5,Ex,269500
2,Ex,214900
4,Ex,202900
5,Ex,378500
6,TA,169000
3,Ex,173500
4,TA,139000
6,Ex,166500
5,TA,83500
5,Ex,119500
4,TA,85000
3,Ex,76000
5,Ex,75500
6,Ex,88250
6,TA,85500
6,Ex,130000
4,TA,157900
4,TA,149900
2,Gd,159000
3,Gd,136000
4,TA,161000
2,Ex,285000
3,Ex,231000
10,TA,124500
6,TA,157000
7,Gd,345000
7,Ex,189500
8,Ex,270000
6,Gd,189000
10,Ex,377500
5,Gd,168500
11,Ex,375000
10,Ex,278000
7,Ex,240000
9,Ex,239500
2,Gd,177500
12,Gd,185000
10,Gd,191000
5,Gd,178000
4,Gd,185000
7,Gd,181316
11,Ex,166000
12,Gd,178000
3,Gd,174000
7,Gd,173000
5,Ex,225000
5,Ex,180500
8,Gd,187500
7,Ex,501837
7,Ex,372500
6,Ex,260000
7,Ex,185000
8,TA,260000
1,TA,181000
4,TA,82500
6,Gd,215000
5,TA,154000
8,TA,200000
8,TA,249000
6,TA,187500
5,Gd,184000
7,TA,278000
4,TA,157000
6,TA,152000
10,Ex,197500
6,Ex,240900
12,Ex,263435
3,Ex,220000
10,Ex,235000
6,TA,213000
4,Ex,167900
8,Fa,158000
8,TA,165000
8,TA,158000
9,TA,136000
8,TA,148500
7,Gd,156000
3,TA,128000
7,Ex,143000
9,TA,76500
11,TA,120500
7,Ex,124500
3,Gd,97000
7,Gd,130000
7,TA,111000
5,TA,125000
5,TA,112000
7,TA,97000
5,Gd,118000
2,TA,119500
10,TA,143750
9,TA,146000
7,TA,148500
8,TA,123000
6,TA,147000
5,TA,137900
7,TA,147000
4,TA,148500
4,TA,138000
10,TA,128500
7,TA,100000
7,Ex,148800
7,Ex,337500
6,Ex,462000
7,Ex,485000
4,Ex,555000
11,Ex,325000
7,Ex,256300
8,Ex,253293
7,Ex,398800
7,Ex,335000
5,Ex,404000
9,Ex,402861
6,Ex,451950
3,Ex,610000
1,Ex,582933
7,Ex,360000
4,Ex,296000
6,Ex,409900
7,Ex,255500
6,Ex,335000
1,Ex,274900
2,Ex,300000
3,Ex,324000
6,Ex,350000
3,Ex,280000
10,Ex,284000
6,Ex,269500
9,Ex,233170
6,Ex,386250
7,Ex,445000
6,Ex,290000
7,Gd,255900
8,Ex,213000
8,Ex,196000
3,Ex,184500
5,Ex,212500
7,Ex,230000
2,Ex,552000
7,Ex,382500
5,Ex,320000
4,Ex,248500
9,Ex,286500
12,Ex,254000
11,Ex,173000
7,Ex,173000
6,Ex,184000
7,Ex,167800
6,Ex,174000
3,Ex,174000
6,Ex,174000
5,Ex,175900
5,Ex,192500
5,Ex,181000
8,Ex,180000
9,Ex,160200
7,Ex,188500
12,Ex,200000
8,Ex,170000
9,Ex,189500
3,Ex,184100
7,Ex,195500
6,Ex,192000
5,Ex,178000
4,Ex,207500
4,Ex,236000
7,Ex,257500
7,Ex,244000
5,Ex,167000
6,Ex,179000
6,Ex,190000
3,Ex,156000
5,Ex,245000
6,Ex,181000
6,Ex,214000
6,Ex,168000
7,Ex,337000
7,Ex,403000
9,Ex,327000
5,Ex,340000
7,Ex,336000
7,Ex,265000
6,Ex,315000
4,Ex,260000
11,Ex,260000
10,Ex,263550
7,Ex,402000
1,Ex,248000
12,Ex,244600
9,Ex,275000
9,Ex,257500
5,Ex,287090
3,Ex,275500
9,Ex,245000
2,Ex,253000
10,Ex,468000
7,Ex,252678
6,Ex,210000
9,Ex,208300
10,Ex,225000
9,Ex,229456
5,Ex,229800
5,Ex,250000
10,Ex,370878
6,Ex,238500
4,Ex,310000
7,Ex,270000
5,Ex,252000
10,Ex,241000
10,Ex,264500
3,Ex,291000
11,Ex,263000
10,Ex,185000
8,Ex,234500
3,Ex,209000
4,Ex,159000
6,Ex,152000
8,Ex,143500
1,Ex,193000
1,Ex,203000
8,Ex,184900
5,Ex,159000
8,Ex,142000
6,Ex,153000
2,Ex,224243
4,Ex,220000
9,Ex,257000
4,Ex,189000
11,Ex,171500
4,TA,120000
2,Gd,145000
10,Ex,184000
7,TA,162000
5,TA,160000
9,Gd,82000
10,TA,76000
11,Gd,110000
7,TA,135000
6,Ex,141000
7,TA,122000
5,Gd,124100
10,Ex,129000
3,Ex,131400
12,Gd,62383
10,Gd,123000
4,Gd,275000
7,Ex,235000
7,Ex,280750
6,Ex,164500
6,Ex,173733
1,Ex,222000
3,Ex,195000
3,Gd,172500
8,Ex,180000
9,Ex,156000
8,Ex,172500
6,Ex,318750
9,TA,211500
6,TA,241600
1,Ex,180500
6,Ex,150000
5,Ex,154000
2,TA,185000
8,Gd,185750
11,Ex,200000
6,TA,206000
12,TA,162000
5,Gd,256900
6,Fa,197900
8,TA,163000
8,TA,113000
11,Ex,230000
4,TA,167900
6,Ex,213250
11,Ex,227000
6,TA,130000
3,TA,143000
7,Ex,117500
5,Gd,168500
5,Fa,172500
9,TA,161500
8,Gd,141500
9,Ex,118000
10,Ex,127500
5,TA,140000
7,Fa,177625
7,TA,110000
2,TA,167000
2,TA,153000
7,TA,145100
11,Ex,154000
6,TA,177500
8,TA,158000
7,Ex,124500
9,Ex,174500
2,Gd,122000
12,Gd,82500
7,TA,110000
2,Ex,149500
4,TA,175000
10,TA,167000
6,Gd,128900
9,Ex,140000
7,Gd,147000
4,TA,124000
4,Ex,187500
7,Gd,159000
7,Gd,256000
10,TA,205000
6,TA,193500
7,Gd,110000
6,Gd,104900
6,TA,150000
6,Gd,156500
8,Gd,176000
6,TA,149500
4,Gd,139000
6,TA,155000
11,TA,120000
7,Gd,153000
11,TA,144000
5,TA,176000
10,Gd,153000
12,Ex,135000
2,Gd,131000
11,TA,123000
10,TA,126000
11,TA,115000
6,Ex,164900
8,TA,113000
3,Gd,145500
8,TA,102900
8,TA,95000
12,Ex,152500
8,TA,129900
5,Ex,132000
8,Gd,99900
8,Ex,135000
8,Ex,149000
5,Gd,114000
5,Ex,109500
12,Ex,125000
6,TA,142900
8,Ex,156500
6,Gd,59000
10,Ex,105000
6,TA,106000
11,TA,78500
8,TA,190000
6,Fa,154000
5,Gd,163000
8,TA,200000
9,Gd,143500
4,Gd,135000
5,TA,153000
12,Ex,157500
4,Fa,113500
9,Gd,133000
6,Fa,92900
12,Gd,128500
6,Fa,90000
5,Gd,138000
3,Gd,128000
5,TA,139000
9,TA,118900
7,TA,138000
7,TA,132500
8,TA,133500
8,TA,135000
3,TA,144750
11,Gd,145000
4,TA,127000
8,Gd,109500
12,TA,115000
5,Gd,110000
6,Gd,128900
6,Gd,103500
8,Ex,66500
7,TA,130000
3,Ex,129000
10,TA,150000
12,TA,107500
10,Gd,94550
7,Gd,124500
9,Gd,135000
7,Gd,103000
2,TA,93000
3,TA,129500
11,TA,93000
11,TA,80000
10,Fa,45000
5,Fa,37900
12,Gd,91300
2,TA,99500
6,Gd,113000
6,TA,87500
4,TA,110000
11,TA,106000
5,TA,265979
6,Gd,160000
5,Ex,119000
11,Gd,168000
6,Ex,58500
7,Ex,143000
6,TA,85000
9,TA,124900
9,Ex,119000
9,Ex,146500
11,TA,34900
9,TA,44000
5,Ex,223500
9,TA,149000
10,Gd,205000
5,Ex,137000
5,Fa,121000
7,TA,128000
7,TA,134900
5,Ex,117000
5,Ex,132500
6,Gd,93000
1,Gd,119000
10,TA,100000
4,TA,141500
7,Ex,133000
1,Fa,60000
11,TA,105000
3,Gd,115000
2,TA,150000
8,TA,126500
7,Gd,214500
10,TA,167500
6,Gd,155000
6,Ex,155000
6,Fa,179900
7,Ex,104000
9,TA,62500
8,Fa,149000
1,TA,103000
2,Ex,123000
5,TA,97500
8,TA,135000
7,TA,70000
2,Ex,116000
9,Ex,88750
3,TA,179000
3,TA,179000
7,TA,159900
3,Gd,61000
7,TA,103600
3,TA,63000
10,Ex,175000
6,TA,139000
7,Gd,172500
4,TA,113500
6,Ex,130000
6,TA,149900
4,TA,134900
7,TA,137000
9,TA,139000
7,TA,165000
3,Ex,148000
10,Ex,165000
6,Fa,63900
11,Ex,161500
6,Ex,143000
4,Ex,135000
3,Ex,82500
11,Ex,190000
6,Ex,139600
10,TA,122000
11,Fa,127500
2,TA,121500
6,TA,60000
7,Ex,154400
8,TA,113000
9,TA,125000
1,Ex,84000
2,TA,139500
1,Gd,131000
10,TA,105000
10,TA,108000
7,Gd,162000
9,Gd,156500
9,Ex,316600
6,Gd,271900
7,Ex,213000
8,Ex,239900
6,Ex,239500
6,Ex,131000
6,TA,118964
6,TA,153337
6,TA,147983
6,TA,118858
6,TA,118858
6,TA,142953
6,TA,148325
6,TA,113722
10,Ex,269500
10,Ex,269500
10,Ex,269500
7,Ex,323262
9,Ex,297000
1,Ex,295493
11,Ex,332000
6,Ex,239900
4,Ex,212000
4,Ex,272500
5,Ex,239000
3,Ex,220000
5,Ex,200000
3,Ex,221800
2,Ex,194500
3,Ex,237000
7,Ex,173000
8,Gd,275000
6,Gd,233500
6,TA,185000
11,Gd,152000
10,Ex,143000
8,Ex,231500
4,Ex,212000
12,Ex,207000
6,Ex,145000
5,Ex,138000
3,Ex,197900
6,Ex,204000
9,Ex,192000
4,Ex,200000
7,Ex,195000
3,Ex,227000
6,Ex,230000
6,Ex,187100
4,Ex,203000
7,Ex,201000
8,TA,124000
7,TA,140000
10,TA,134900
9,TA,150500
7,Ex,136500
10,TA,143500
8,Ex,133500
9,TA,123000
4,Gd,133900
3,TA,133000
9,Ex,250000
6,Ex,254750
6,Ex,236500
11,Ex,261500
5,Ex,313000
11,Ex,198500
5,Ex,211000
6,Ex,220000
6,Ex,203000
6,Ex,279500
8,Ex,210000
2,Ex,219500
7,Ex,191000
6,Ex,178000
10,Ex,213000
6,Ex,144000
5,Ex,140000
1,Ex,293200
4,Ex,190000
8,Ex,190000
2,Ex,173500
7,Ex,170000
5,Ex,108000
3,Ex,167000
5,Ex,100000
7,Ex,198500
7,TA,159500
7,TA,127000
10,Ex,125000
2,Ex,320000
4,Gd,145500
6,Ex,118000
3,TA,85000
6,TA,120000
4,TA,98000
7,Ex,99900
7,Fa,82000
8,TA,119900
5,Ex,103500
10,Ex,112000
8,Gd,110000
9,Ex,122000
7,Ex,117000
7,TA,160000
7,Ex,159434
1,TA,60000
7,TA,139500
8,Ex,197000
3,Gd,105000
12,TA,135000
10,Ex,147500
10,Ex,137450
4,Ex,155000
3,Gd,177000
8,Gd,145000
5,Ex,137000
6,Ex,234000
2,Ex,205000
11,Fa,177500
6,Ex,160000
6,Ex,155000
8,Ex,163500
7,Ex,154900
7,Ex,205000
10,Ex,144800
7,Ex,174500
5,TA,193000
10,Fa,158000
8,Ex,158500
1,Ex,224000
5,TA,115000
10,TA,137000
7,TA,121000
5,TA,124000
4,Gd,208000
7,TA,315000
12,Ex,222000
7,Gd,147000
12,Ex,123000
7,TA,78000
10,TA,85000
5,Fa,75000
6,Ex,230000
3,TA,57625
5,Ex,251000
8,Ex,239686
4,Ex,240000
6,Ex,215000
4,Ex,156450
11,TA,173000
8,TA,126000
6,Ex,173000
4,TA,152000
1,Gd,137500
6,TA,375000
9,Ex,315500
7,Gd,224500
7,Ex,410000
1,Ex,316500
7,Ex,201000
3,TA,175000
2,Ex,204000
7,Ex,213500
6,Ex,220000
2,Ex,170000
3,Ex,315000
5,Ex,425000
4,Gd,139500
11,TA,115000
6,Ex,162000
6,Ex,165000
11,TA,91000
11,TA,130000
5,TA,86000
3,Ex,160000
4,TA,80000
5,TA,97000
8,TA,88000
7,Gd,131900
8,Ex,131250
7,Ex,165500
3,Ex,112000
6,TA,149000
10,Ex,143000
7,TA,130000
5,TA,196000
4,Ex,173000
5,Ex,176500
5,Ex,237500
6,TA,206900
4,Ex,187500
10,Gd,165000
5,Ex,195500
7,Gd,192000
11,Gd,173000
11,Gd,177900
8,Ex,175000
8,Ex,286000
7,Ex,247900
10,Gd,180000
8,Ex,180000
7,Ex,181000
4,Gd,183000
6,Gd,188000
10,Ex,194500
9,Gd,185000
10,Gd,189000
4,Gd,188500
7,Ex,355000
6,Ex,325000
9,Ex,387000
5,TA,115000
7,Ex,334000
7,Gd,133000
11,Gd,215000
6,Ex,226500
6,TA,175500
7,TA,181900
8,TA,235000
3,TA,220000
7,TA,272000
11,TA,161000
3,TA,175000
3,TA,185000
6,Gd,146900
12,Ex,292500
5,TA,180000
4,TA,159900
9,TA,205000
11,Gd,157000
6,Ex,306000
6,TA,133000
7,Gd,151000
9,TA,111900
5,TA,123000
4,TA,111250
8,Ex,181000
2,TA,103400
11,TA,100000
4,Gd,100500
9,TA,106000
7,TA,85400
8,TA,89500
12,TA,111750
10,TA,140000
5,Gd,143000
9,Fa,148500
10,TA,110000
11,Ex,394617
8,Ex,426000
6,Ex,385000
11,Ex,446261
1,Ex,317500
1,Ex,372402
8,Ex,417500
5,Ex,383000
10,Ex,390000
6,Ex,460000
8,Ex,379000
6,Ex,250000
7,Ex,316000
2,Ex,615000
3,Ex,412500
8,Ex,284000
6,Ex,284000
1,Ex,421250
7,Ex,370000
11,Ex,336860
10,Ex,367294
6,Ex,192000
4,Ex,274000
7,Ex,266000
6,Ex,370967
6,Ex,234250
2,Ex,219500
10,Ex,155000
10,Ex,154000
7,Ex,207000
8,Ex,195000
5,Ex,219990
5,Ex,191000
3,Ex,159895
3,Ex,187687
7,Ex,179000
4,Ex,193000
7,Ex,190000
7,Ex,176000
7,Ex,188000
5,Ex,213000
11,Ex,217300
5,Ex,186500
7,Ex,226750
2,Ex,184000
4,Ex,176000
5,Ex,225000
5,Ex,185900
9,Ex,284500
6,Gd,315000
12,Ex,250000
6,Ex,291000
7,Ex,350000
6,Ex,279500
6,Ex,290000
8,Ex,350000
8,Ex,341000
7,Ex,287500
8,Ex,271000
8,Ex,301500
6,Ex,235128
1,Ex,214000
7,Ex,232000
5,Gd,240000
8,Ex,264132
10,Ex,245000
7,Ex,227680
7,Ex,257000
2,Ex,297900
8,Ex,247000
7,Ex,212700
5,Ex,250580
12,Ex,182000
2,Gd,226700
8,Ex,250000
7,Ex,250000
4,Ex,339750
5,Ex,205950
6,Ex,256000
4,Ex,230348
5,Ex,207500
4,Ex,141000
7,Ex,188000
7,Ex,192500
6,Ex,146000
6,Ex,159000
7,Ex,155000
12,Ex,173000
3,Ex,170000
4,Ex,182000
10,Ex,163000
10,Ex,193500
11,Ex,189000
9,Ex,190500
5,Gd,175000
6,Gd,179200
6,Ex,187000
7,Ex,193000
3,Ex,153900
8,TA,128000
9,TA,144000
7,Ex,135000
4,Gd,115000
1,TA,119916
5,Gd,142000
7,TA,192000
7,TA,140000
6,Ex,290000
6,Ex,372500
7,Ex,196000
3,Ex,171900
6,Ex,178000
5,Ex,165000
3,Ex,146000
2,Ex,146000
8,Gd,179400
4,Gd,172900
7,Ex,300000
7,Ex,285000
9,Ex,290000
6,Ex,305000
1,Ex,328900
3,Ex,160000
6,Ex,170000
6,Ex,223000
12,Ex,170000
12,Ex,200000
2,Ex,345000
12,Ex,245500
8,Ex,217500
5,Ex,324000
6,TA,162500
6,TA,150000
5,Ex,290000
4,Ex,205000
5,Gd,174000
5,Gd,183000
10,Fa,150000
10,Ex,145000
8,Ex,215000
8,Ex,140500
6,TA,240000
6,Ex,141000
12,Ex,147000
7,Ex,135000
11,TA,145000
11,TA,142600
11,TA,135000
5,TA,170000
7,Ex,299800
7,TA,185000
7,Gd,173000
7,Gd,178400
4,Gd,176000
3,TA,98000
7,Ex,109008
4,Ex,135750
12,Gd,155000
7,Gd,180500
5,TA,174900
7,TA,140000
7,Ex,145000
10,Gd,179900
6,TA,168500
5,TA,140000
8,Ex,145500
10,Ex,142000
4,TA,141000
8,Ex,153000
7,TA,72500
7,Gd,52000
1,Ex,118000
9,TA,87000
2,TA,141500
4,TA,119000
9,Gd,141500
10,Gd,165500
6,Ex,112900
5,TA,201800
6,TA,163000
9,Gd,139950
7,TA,174000
12,Gd,165000
8,Ex,227000
7,TA,135000
8,TA,124000
10,TA,140000
5,TA,136500
6,TA,185000
11,Ex,163000
5,Ex,166800
5,Gd,139000
6,TA,166000
6,Gd,136000
4,Gd,133000
5,Ex,116000
5,TA,137500
7,TA,130000
9,TA,180000
6,TA,139000
4,Gd,110000
10,Gd,100000
10,TA,118500
1,Fa,146000
8,TA,89900
5,TA,114000
4,TA,140000
7,Gd,86900
6,Ex,139000
8,TA,106250
3,Ex,171000
6,TA,139000
4,Ex,186000
5,TA,157000
6,TA,148000
11,Ex,242000
10,Gd,116000
2,TA,94000
7,Gd,98300
8,Gd,127000
5,Gd,159000
11,TA,125900
6,TA,155000
9,Ex,138000
6,TA,112500
6,Gd,105500
4,Fa,127500
11,TA,130000
3,Gd,150000
7,TA,109500
10,TA,140000
6,TA,167900
5,Ex,136870
12,Gd,143000
6,Gd,73000
6,Gd,157500
7,Ex,122600
1,Fa,111000
6,Ex,256000
8,TA,64000
6,Gd,139500
6,Gd,118000
6,Ex,200000
5,Gd,119164
6,Gd,122250
2,TA,120000
5,TA,155000
9,TA,78000
9,Gd,95000
4,Ex,115000
5,Ex,147000
6,Ex,140000
3,TA,46500
6,Gd,112500
8,Ex,107900
12,Gd,65000
5,Ex,295000
2,TA,139500
6,Gd,153900
3,Ex,132000
5,Fa,98000
5,Ex,114000
4,TA,130000
4,Fa,129500
2,Ex,129400
10,Ex,161000
4,Ex,163000
6,Ex,128000
12,Fa,122000
8,TA,116900
7,Gd,325000
11,TA,55000
12,Gd,184000
6,Gd,110000
11,Ex,131500
12,Gd,97000
5,TA,115500
7,TA,138000
8,Gd,108000
8,TA,79500
7,TA,153000
5,Gd,109500
5,Ex,124000
4,Ex,106900
7,Ex,164900
7,Ex,119000
7,TA,120000
5,Ex,157000
4,Ex,105000
4,Ex,113000
4,TA,115000
4,TA,79000
8,Ex,123000
6,Gd,81300
6,TA,162900
1,TA,150000
10,TA,123500
4,Gd,129900
6,Ex,128000
5,Fa,68500
1,TA,127000
6,Gd,207000
6,Ex,184000
3,Ex,162500
7,Gd,145000
5,Ex,130000
9,Gd,160000
6,Fa,161000
6,Ex,127500
7,TA,93850
5,TA,136000
11,TA,141000
4,Gd,120000
7,Gd,127500
8,TA,127000
3,TA,89500
6,TA,125000
9,Gd,79900
8,TA,85000
5,Ex,82375
6,Ex,135000
9,Gd,124000
8,Ex,134000
8,TA,135000
7,TA,134432
9,Gd,127500
5,TA,148000
2,Ex,129500
12,TA,157500
12,TA,109900
7,Ex,145000
5,Ex,130000
5,Ex,153000
3,Gd,120000
3,TA,152000
1,TA,108959
1,Fa,95541
7,TA,80000
6,Gd,149350
5,Ex,144900
6,TA,185000
6,TA,165000
3,Gd,235000
12,TA,140000
8,Ex,108000
12,Gd,145000
6,Gd,152400
6,Ex,144000
11,Ex,173000
3,Ex,192000
4,TA,245000
4,Ex,241500
3,Ex,256000
5,Gd,177000
1,TA,125600
6,Ex,155000
9,TA,240000
1,Ex,260000
7,Ex,185000
7,Ex,235000
7,TA,159900
4,Fa,99600
11,TA,134500
4,Ex,119000
1,TA,107500
8,TA,125000
4,Fa,79000
3,TA,95000
5,Ex,262280
6,Ex,260000
4,Ex,226500
12,Ex,225000
2,Ex,229000
3,Ex,177439
5,Ex,248500
6,Ex,475000
12,Ex,395039
12,Ex,228000
2,Ex,225000
3,Ex,195000
5,Gd,200000
8,Ex,155000
6,Ex,144000
2,Ex,145000
5,Ex,226001
7,Ex,215700
6,Ex,207500
6,Ex,193000
7,Ex,188000
7,Ex,191000
9,Ex,221000
5,Ex,231500
5,Ex,235000
9,Ex,223500
7,TA,130250
11,TA,149900
5,Ex,158000
10,TA,147000
9,TA,143195
8,TA,163000
4,TA,110000
5,TA,127000
1,Ex,124900
9,Ex,230000
3,Ex,237000
6,Ex,235000
6,Ex,230500
12,Ex,230000
7,Ex,222500
9,Ex,287000
1,Ex,274000
6,Ex,300000
5,Ex,255900
7,Ex,224900
8,Ex,240000
6,Ex,183000
